input	output
the energy storage properties for different ceramic mls are summarized in table 12. figure 29 ceramic mls fabrication process ( mls cofire technology ).	positive
combination of texturing with alloying with a third end member ( bmn ) in nbt – sbt may well represent an exciting path to achieve yet higher energy densities. figure 31 ( a ) bipolar p – e loops and ( b ) calculated wrec and η of 0. 87bt−0. 13bi [ zn2 / 3 ( nb0. 85ta0. 15 ) 1 / 3 ] o3 mls under different electric fields. 438 ( c ) unipolar p – e loop, with inset sem micrograph of ceramic mls, and ( d ) calculated wrec and η of nbt – 0. 45sbt – 0. 08bmn ceramic mls under different e. ( a, b ) reproduced with permission from ref ( 438 ).	positive
the mhc haplotype, hla - drb1∗04 - dqb1∗02, has also been shown to be associated with t1d in saudi arabians ( al - hussein et al., 2003 ).	negative
a recent review revealed that most of the research in the country focused mainly on type 2 diabetes ( t2d ) with only 14 of 314 published articles ( accessed in 2020 ) presenting data on t1d ( shieb et al., 2020 ). in this study, we performed hla typing and constructed 8 locus mhc haplotypes using segregation analyses in 5 families to define the haplotypes that are common in the uae, with the goal of identifying any haplotypes that were shared among individuals with t1d in different families. materials and methodsrecruitmentthe parents of patients that were diagnosed with t1d were approached during a routine follow up visit to the department of endocrinology at mafraq hospital in abu dhabi, uae.	positive
( 1992a ) suggested that both hla and non - hla genes are involved in conferring susceptibility, and the region between hla - b8 and the bat3 gene may contain some relevant genes.	negative
a genetic explanation for the rising incidence of type 1 diabetes, a polygenic disease.	negative
moreover, carlini and french ( 2014 ) tested different velocity profiles in a duration estimation task ; their results revealed that, in performing the required task, motion hand - tracking is more effective than visual - tracking alone, but only if the target moves according to a biological lom. some research has focused on the perception of motion duration, including biological motion, using different types of stimuli.	positive
( 2018 ) have added further evidence showing that the timing of the auditory stimulus can modulate the perception of the velocity of induced motion.	negative
finally, concerning the interaction between lom and time [ f ( 9, 171 ) = 6. 2678, p < 0. 00001, η2 = 0. 25 ] the tukey post hoc confirmed, for both the bio and the const lom, the statistical difference from all other laws of motion in t2, t3, and t4. the anova on ve showed only the time factor as significant [ f ( 3, 57 ) = 16. 7407, p < 0. 00001, η2 = 0. 55 ].	positive
finally, no significant interactions were found between sound and law of motion ; the auditory stimulation produce equal effects regardless of the kinematic type, and vice versa. these results suggest that in each perceptual channel, the presence and the structure of a stimulus are able to define ( and bias ) the unified perception, but in an independent manner.	positive
consistently with the initial speculation, the comparison among the three auditory conditions shows that the s _ bio sound constitutes the most favorable condition, although the other sounds appeared simpler. the bio kinematics still demonstrated supporting the best performance, as already found in previous experiments.	positive
unified perception arises from the non - simple composition of information coming from different perceptual channels.	negative
the sum of these two effects, can easily explain the trend that emerges in t1 – t2 – t3 – t4.	negative
interestingly, the present results also show that the constant motion originates the worst performances, compared to any other kinematics.	negative
balloons ’ diameters are linearly proportional to the standard deviation of the subjects ’ responses, and not - in - scale with the constant error.	negative
selon les directives prisma, la recherche effectuee dans les bases de donnees pubmed et web of science a permis de retrouver 826 etudes, dont 17 ont ete definitivement incluses.	negative
importantly, toxoplasmosis can lead to congenital infection when acquired by a non - immune pregnant woman, with a rate of transmission and severity depending on the trimester of pregnancy at maternal infection.	positive
was specifically addressed in only two studies [ 24, 26 ], which showed that eia were very specific regarding such serum panels, while agglutination methods were more impacted, leading to 4. 3 % to 11 % false - positive results. ppv and npvppv and npv were reported or could be calculated from 11 studies [ 5, 7 – 10, 13, 14, 16, 24, 26 ] and are presented in table 2.	negative
it showed that the immuno - hemagglutination assay had the best sensitivity, including for low igg titers, but this latter point was evaluated only on a small number of sera ( n = 45 ) [ 26 ].	negative
yet,	negative
since facts are beginning to multiply on this subject, although they do not	negative
prove the utter harmlessness of the procedure, they demonstrate the radical	negative
cure of cases, wherein all other treatment had failed ; objections, however	negative
plausable and urgent they may theoretically appear, must give way to ex -	negative
periments and facts.	negative
of this	negative
number, two have been cured ; with the third, the result is yet uncertain,	negative
because the injection is recent ; but there have been no accidents, and the	negative
consequences of the injection are to the present moment favorable ; with two	negative
others, the operation has been innocent though unsuccessful, the ascites	negative
having been reproduced a short time after ; with the sixth patient, symptoms	negative
of peritonitis rapidly followed, and the patient died in forty - eight hours.	negative
this unusual ferromagnetism found in hafc not only enriches magnetic features in the low - dimensional systems, but helps to understand some of the exotic magnetic phenomena in other real quasi - 1d magnetic materials. subject termsmagnetic properties and materialsferromagnetismhttp : / / dx. doi. org / 10. 13039 / 501100001809 national natural science foundation of china u2032213 the high magnetic field laboratory of anhui provinceissue - copyright - statement© the author ( s ) 2021 = = = = bodyintroductionmermin – wagner theorem1 indicates that no magnetic long - range order survives due to the strong spin fluctuations until t = 0 k in one - dimensional ( 1d ) and two - dimensional ( 2d ) spin systems, regardless of the strength of the exchange interactions between the neighbour spins.	positive
we suggest that this ferromagnetism in hafc is attributed to the long - range ferromagnetic order formed by the cu2 + ions in the 2d networks which is formed by chains ' defect points.	positive
the fitted parameters are χ0 = 3. 937 ( 4 ) × 10 – 5 emu / mol · oe, p = 1. 12 × 10 – 2, c = 0. 208 emu · k / mol · oe, θ = 3. 796 ( 7 ) k, g = 2. 108 ( 8 ), j / kb = 72. 2 ( 1 ) k. it is noted the obtained g is very close to the value from our esr measurement ( 2. 096 ), which indicates the fitting is reasonable.	negative
different evaporation rate is used to obtain samples with different defects concentration.	negative
there is a close relationship between plantar fascia and foot function, and studies have shown that when plantar fascia changes, it will produce clinical problems, for example, heel pain ( wearing et al., 2006 ).	positive
least significant difference results showed that, in terms of plantar fascia thickness, pf > mf > all the five bfs > all the five dbs.	negative
there were 12 positions ; thus, k = 66. “ / ” = the same position. peak pressure distribution under five mhsthe peak pressure under five mhs of 15 flexible flatfeet is shown in figure 4.	negative
it is characterized by heel pain after rest because it mainly affects the plantar fascia inserted into the calcaneus ( huang et al., 2000 ).	negative
( 2019 ) showed that the thickness and young ’ s modulus between the five branches of the normal plantar fascia were the greatest under the first mh, while this study showed that the thickness and young ’ s modulus under the second and third mh were greater in patients with flexible flatfoot.	positive
therefore, although the results of the differences between different positions in plantar fascia as well as between patients with flexible flat feet and healthy volunteers in this study may not be affected, it is necessary to explore the influence of thickness on the properties of plantar fascia materials by using guided wave technology in the future. conclusionthis study found a gradient distribution in that the thickness and young ’ s modulus gradient decreased from the proximal end to the distal end of plantar fascia in the longitudinal arch of flexible flatfeet.	positive
finally, tissues were washed with double distilled water [ 13 ]. however, three different methods were applied during isolation2. 2.	negative
in addition, strains rs3 and rs6 were identified as resistant to chloramphenicol, while r2 showed resistance to rifampicin. 6. 9.	negative
the observed phylogenetic breadth covered firmicutes, uncultured bacteria and β - proteobacteria, in which firmicutes, especially bacillus genera, was dominant in the root of momordica charentia l. bacillus genera are ubiquitous nature and frequently reported as an epiphyte and endophyte in various plant species, such as cassia tora [ 14 ] and turmeric [ 16 ], the present assay system to evaluate the functions and persistence of endophytic bacterial strains showed common traits for amylase, protease, pectinase, esterase, and motility.	negative
as evident in the stress tolerance test, four strains, r1, rs3, rs6, and rs8, exhibited growth in 0. 02 % sodium azide.	negative
each number on a branch indicates the bootstrap confidence values corresponding to the scale bar of branch lengths. figure 2 hierarchical cluster analysis ( between groups linkage ) measuring the squared euclidean distance based on their c and n utilization pattern. figure 3 specific growth rate ( h−1 ) of the endophytic isolates grown in lb broth.	positive
rs9 jx472925 lysinibacillus fusiformis strain tl ( jq991004 ) firmicutes microorganisms - 10 - 00290 - t003 _ table 3 table 3 carbon and nitrogen source utilization patterns of endophytic bacterial strains. carbon source r1 r2 r6 r11 rs3 rs6 rs8 rs9 glucose + + + + + + + + sucrose + + + + + + + + sodium citrate + + + + − − + − sodium acetate − − + − − − + − sodium formate − − + − − − + − mannitol − − + − − − + − malic acid − − − + − − − − methanol − − − + − − + + nitrogen source yeast extract + + + + + + + + potassium nitrate + + + + + + − + sodium nitrite + − + − + + − + ammonium acetate + − + − + + + + ammonium sulphate + + + + + + + + ammonium chloride + + + + + + + + alanine + + + + + + + − lysine + + + + + + + − glycine + + + + + + + + glutamine + + + + + + + + isoleucine + + + + + + + + arginine − + + + + + + + cysteine + + + − + + + + aspartic acid − + + − + − − − glutamic acid − + + − + − − − proline + + + + + + − − microorganisms - 10 - 00290 - t004 _ table 4 table 4 antibiotic sensitivity pattern of endophytic bacterial strains ( i = intermediate ; s = sensitive ; r = resistance ). strains antibiotic sensitivity ( antibiotics inhibition zone in mm ) chloramphenicol ( 30 mcg / disc ) polymixin - b ( 300 unit / disc ) erythromycin ( 15 mcg / disc ) rifampicin ( 5 mcg / disc ) spectinomycin ( 30 mcg / disc ) kannamycin ( 10 mcg / disc ) r1 10. 3 ± 0. 05 a ( i ) 14. 6 ± 1. 5 a ( i ) 12. 6 ± 1. 5 a (	negative
zeba n. morphological characterization, character association and path analysis of bitter gourd ( momordica charantia l. ) genotypes plant cell biotechnol.	negative
a school - based survey in brazil found the prevalence of unaided vision impairment to be 4. 8 %, with 76. 8 % due to refractive error ( 4 ).	negative
child focus groups included children who wore spectacles ( n = 4 ), children who had been prescribed with spectacles but were not wearing them ( n = 3 ), and children who had not been prescribed spectacles ( n = 8 ).	negative
they don ’ t want their children using glasses, because their eyes will get worse.	negative
however, both programs had been discontinued. representatives from nongovernmental organizations stated that, while teacher training is theoretically an effective approach to enabling eye care, high - quality training, approval of the national optometrists ’ association, and the health and education ministries is essential.	positive
this approach may help correct the common perception among parents that eye health is not a priority.	negative
finally, the majority of our parent participants were women, most likley because mothers have the primary responsibility for children ’ s health, which may skew the data due to a lack of male respondents. conclusionour study explored the many factors ( barriers and facilitators ) that affect school - based eye health programs in bogota, colombia, including availability, accessibility, acceptability, and quality.	positive
global magnitude of visual impairment caused by uncorrected refractive errors in 2004.	negative
revision arthroplasty of acetabular component is a challenge for every surgeon because they have to simultaneously deal with the reconstruction of bone defects, adequate implant geometry and stable fixation.	positive
bone autograft is the gold standard in the treatment of various defects because of osteoconductive and osteogenic properties, but its possible application in the treatment of large lesions in revision hip surgery is limited due to availability.	positive
there were not any cases of loosening of revision acetabular cup at the most recent follow up examination.	negative
97. 56 % survival was noted after 10 yearsdiscussionbone graft substitute should promote bone healing with a new bone formation, without the risk of transmission of infection or immunological host response [ 9, 10 ].	positive
both groups of patients did not differ in relation to clinical results, complications and survival at 13 years.	negative
after average of 20. 5 months there were not any signs of implant loosening and increase in clinical scores.	negative
the parents also noticed the patient sleeping more than usual, only staying awake for an hour at a time, and had a subsequent severe regression in milestones, with an inability to roll over or sit unsupported. initial workup in the emergency department included a ct brain without contrast, which showed evidence of thickening of the bilateral optic nerves with associated masses and diffuse bilateral ventriculomegaly ( figure 1 ).	negative
overall survival is generally high though, with studies ranging between 92 % to 98 % [ 9 ]. thus continuous ophthalmological follow - up and mri surveillance remain important in these patients to monitor for progression. conclusionswe highlight a unique case of a young patient who presented with nystagmus and regression of milestones, who was found to have a stage 3 optic pathway glioma as confirmed by mri of the brain.	positive
for identification of deaths with hf as the underlying cause, we used the categories 428 of the icd - 910 for deaths that occurred between 1980 and 1995, and i50 of the icd - 1011 for deaths that occurred after 1996. information on the resident population was also retrieved from the datasus website, 8 which in turn considered the census data from the brazilian institute of geography and statistics ( instituto brasileiro de geografia e estatistica, ibge ) from 1980, 1991, 2000, and 2010, intercensal projections until 2012, and population projections from 2013 onwards. the annual crude and standardized mortality rates in the fus per 100, 000 inhabitants were estimated by the direct method, 12 using as standard the age structure of the brazilian population in 2000.	negative
in line with figure 1, in relation to the moving averages over a longer period, all fus showed reductions and, therefore, a negative variation in mortality rates comparing the years 1990 and 2018 ( figure 2a, y axis ).	positive
the authors suggest that socioeconomic interventions need to be implemented to reduce the personal risks and economic burden of the disease in patients with hf and low socioeconomic status. 24in the present study, we did not evaluate multiple causes of death, only the underlying causes of death selected from the information recorded in the death certificates.	positive
* supplemental materialsfor additional information, please click here : vinculacao academicaeste artigo e parte da dissertacao de mestrado sonia carvalho santos pela universidade federal do rio de janeiro. aprovacao etica e consentimento informadoeste artigo nao contem estudos com humanos ou animais realizados por nenhum dos autores. fontes de financiamento : o presente estudo nao teve fontes de financiamento externas. author contributionsconception and design of the research, acquisition of data, analysis and interpretation of the data, obtaining financing, writing of the manuscript and critical revision of the manuscript for intellectual content : santos sc, villela pb, oliveira gmm. potential conflict of interestno potential conflict of interest relevant to this article was reported. study associationthis article is part of the thesis of master submitted by sonia carvalho santos, from universidade federal do rio de janeiro. ethics approval and consent to participatethis article does not contain any studies with human participants or animals performed by any of the authors. sources of funding : there were no external funding sources for this study. = = = = refsreferencias1 world health organization [ internet ].	negative
abrupt color change and absorption at 250 nm indicate particle formation and completion of the reduction reaction.	negative
it is noteworthy that the particle size of doped nps is less than 50 nm, as shown in figure 4c, d.	negative
the o 1s spectrum depicted binding energies at 529. 18 and 531. 08 ev for both gi and ga doping, as shown in figure 6b, f, corresponding to cuo lattice oxygen [ 58, 59 ].	negative
however, it is not clear if bacterial cells employ an endocytosis mechanism for external entity acquisition.	negative
the catalytic action of nabh4 and conventional cuo nps procured from sigma - aldrich is demonstrated in figure 13a, b, and similarly, the catalytic behavior of cae of gi and gi - doped cuo are shown in figure 13c, d.	positive
these peak shifts with a maximum doping of gi root extracts indicate phytochemicals as α - zingeberene, 6 - gingerol, and 6 - snogal of gi, which were found to be significant for bio - reduction.	positive
trimethoprim is a well - known antibiotic that inhibits dhfr, whereas the sulfonamide family of medicines inhibits dhps [ 100, 101 ]. during catalysis by moving electrons donor ( bh4 ) to an acceptor ( mb ) and decreasing activation energy, the extracts doped nps cause substantial catalytic color deterioration [ 102 ].	positive
the size and topography of the fabricated nanostructures was confirmed with jeol fe - sem and jem 2100f tem.	negative
the optimal value ( 3600 μl : 1 ) of specimen 6. 0 mg / 300 µl was consequently applied to the solutions.	negative
the biomaterials was produced by biomed center ( bayrouth, germany ) following the systematic approach to the biological evaluation of the medical device, as part of the risk management process present in the iso standard iso 10993 - 1 : 2018 and according with iso 14971 and iso 13175 - 3 : “ implants for surgery — calcium phosphates — part 3 : hydroxyapatite and beta - tricalcium, ” as shown in the flowchart.	negative
x - ray contrast variations within samples turned into different peaks in the gray level scale, conforming to the several phases.	negative
however, this test - sample did not participate in mastication for 7 years ; thus, it was particularly interesting to study possible alterations with the physiological conditions of the peri - dental bone ( pd - ctr ) and with unloaded controls ( unl - ctr ), ( i. e., with bone biopsies spontaneously healed in 12 months after tooth extraction but not participating in mastication ).	positive
the percentage of bone, residual biomaterials and soft tissues was respectively 59. 2, 25. 6, and 15. 2 %. figure 2 ( a ) light microscopic ground sections of the specimen showed the residual biomaterial block ( p ) surrounded by mature bone ( b ).	negative
the intervention group will receive 12 months ’ intradialytic exercise ( combined aerobic and resistance training ), whereas the usual care group will not receive intervention.	negative
patients who are alive will be considered as censored observations and death from other causes will be considered as a competing event.	negative
assessing patients ’ quality of life with the sf - 36 instrument will therefore be an important secondary endpoint [ 33 ]. 4. 3.	negative
therefore, by including a detailed cost analysis, diatt will substantially improve the scientific and economic evidence base in order to inform future implementation strategies, as has been demanded by experts in the field [ 5, 10, 11 ]. 5.	positive
the ratio of the gray value of the target protein band to the gray value of the β - actin band was the relative expression of the target protein. immunoprecipitationsaos - 2 cells ( 1 × 106 / well ) were seeded in 6 - well plates and culture overnight before incubation with different concentrations diosmetin ( 0, 10, 30 and 90 μm ) for 24 h. the cells were washed with pre - cooled pbs and lysed on ice for 30 min with cell ip lysis buffer ( containing protease inhibitor ).	positive
1b, c, and d ), representing a strong inhibitory effect of diosmetin on osteosarcoma cells.	negative
as showed in fig.	negative
the results showed a dose - dependent inhibition of stat3 phosphorylation in diosmetin - treated saos - 2 and u2so cells ( fig.	negative
however, the combination of diosmetin and wp1066 did not significantly increase the antiproliferative effects of each other ( fig.	negative
in the present study, diosmetin shows anti - osteosarcoma effects by inhibiting the activation of stat3 / c - myc signaling pathway, instead of relying on erβ or trkb signaling pathways.	positive
recently, it is shown that diosmetin has anti - tumor effect by inhibiting the cell proliferation, inducing cell apoptosis and regulating cell cycle on breast cancer cells, liver cancer cells, colon cancer cells, leukemia cells and other tumors, indicating it is a potential promising treatment for cancers [ 17, 18, 40, 41 ].	positive
( 2020 ) asserted that online classes have several issues, viz, this public emergency management led mechanism is relatively trivial as yet, there is persistent information gap among stakeholders, it is difficult to address disparity in teacher quality and educational resources, there is lack of mature detailed plans for massive online classes in emergency time, it is on teachers ’ shoulders with few guidelines from institutions and regulators to solve practical problems during the conduct of online classes, there is a difference between environment of learning at home and on - campus, internet is a less effective platform for teacher – student interface, and long - term online teaching has negative effects on the mental and physical health of students.	positive
in fact, they do not have much impact on the system.	negative
fourthly, a limited number of issues have been studied and those, too, are validated by students ; therefore, it is recommended that, in the future, further issues may be explored with a different set of respondents. data availability statementthe raw data supporting the conclusions of this article will be made available by the authors, without undue reservation, to any qualified researcher. ethics statementethical review and approval was not required for the study on human participants in accordance with the local legislation and institutional requirements.	negative
in contrast, tfec lacks this acidic domain and binds to other mit family members, inhibiting their function [ 20 ].	negative
in contrast to growth factor - induced mtorc1 stimulation, ubiquitination of tsc2 at k8 does not contribute to mtorc1 regulation by amino acids [ 89 ].	positive
this mechanism may explain the induction of deep quiescence / senescence observed in breast cancer [ 162 ] and neuroblastoma cells [ 163 ] treated with cdk4 / 6 inhibitors.	negative
mechanistically, tfeb - mediated activation of lysosomal genes leads to degradation of tfr1 ( membrane transferrin receptor 1 ), which uptakes ironbound transferrin, causing unresponsiveness of cells to mitogenic signals and sustaining a hypo - metabolic quiescent state [ 166 ].	positive
since mtorc1 inhibits autophagy, it is unlikely that both pathways are activated at the same time in satellite cells following injury.	positive
in drosophila, loss of uvrag, which regulates autophagy and endosome / lysosome trafficking and maturation, causes isc hyperproliferation and dysplasia without affecting autophagy in these cells, suggesting that the endocytic function of uvrag is important to control isc behavior [ 225 ].	positive
rutter j. activation of pask by mtorc1 is required for the onset of the terminal differentiation program proc.	positive
juhasz g. stem - cell - specific endocytic degradation defects lead to intestinal dysplasia in drosophila dis.	positive
for example, patients at the royal london hospital for integrated medicine, when questioned, stated that they attended due the failure of other treatments, personal or cultural preferences or because they experienced adverse side effects with biomedical treatments ( sharples et al., 2003 ).	positive
using the inclusion of taijiquan as a health - promoting martial art as the model, the process of integration will be examined from a clinical aspect, as well as the research methodology used to potentially validate its inclusion. figure 1 the evidence house.	positive
within the 20th century the debate over what is evidence has been central.	negative
most studies tended to be biased toward white western males with, until recently, medical studies typically either ignoring or underrepresenting women ( richardson et al., 2015 ). the role of culture and its embedded values including basic assumptions about life, health, politics, societal rituals and mythologies, while easily discerned in many “ pre - modern ” societies, is felt to have been removed from biomedicine, of which evidence - based medicine is a prime example.	negative
one such set of protocols was formulated by wayne b. jonas as a method to rebalance the evidence hierarchy in a way that orients the methodology used depending on the type of information the provided.	negative
wolf ( wolf et al., 1996 ) performed some of the initial research in 1996 looking at the effects of regular taiji practice when compared to computerized balance training in the frail elderly.	negative
while differing styles were used, they were not compared, but simply relied upon as a basis.	negative
( 2018 ), “ impact of tai chi on peripheral neuropathy revisited : a mixed - methods study, ” looked at the effects of taiji on altered sensation of the limbs due to a number of ill health causes including diabetes, infection or other metabolic conditions.	positive
another subset compared taiji to standard anti - diabetic medication.	negative
the role of evidence in alternative medicine : contrasting biomedical and anthropological approaches.	negative
the year in ideas ; evidence - based medicine.	negative
in line with the earliest evidence, we hypothesize pandemic - related increases in perceived stress and decreases in the frequency of flow experiences, likewise in satisfaction with work, life, work performance, and well - being.	positive
in the care context, numerous stressors, such as direct contact with patients, too little time to perform duties adequately or an uncongenial work environment have been identified as causing stress [ 9 ].	negative
besides these positive work - related outcomes, research shows some association of flow experience with stress [ 23, 24 ].	negative
the first results during the covid - 19 pandemic show a decline in life satisfaction [ 31, 32 ].	negative
in a first step, we would like to add to this qualitative result and investigate quantitatively if health nurses ’ subjective perceptions of appreciation for their work has increased due to the covid - 19 pandemic.	negative
an example item is “ i was very concerned about my own health because of corona. ”. workload during the covid - 19 pandemicwe asked the participants about their actual workloads during the covid - 19 pandemic.	positive
about 18 % reported that their workload did not change due to the covid - 19 pandemic.	negative
all results concerning means, standard deviations, significance tests, and effect sizes are summarized in table 3.	negative
we could show that nurses felt more stressed, had flow experiences less frequently, and lower values of satisfaction with work, life, work performance and well - being during the covid - 19 pandemic compared to before the covid - 19 pandemic.	negative
these results show that the covid - 19 pandemic changed the working lives of nurses in germany and underlines the importance of studies addressing the effects of the covid - 19 pandemic on employees, especially because workload is an important factor affecting nurses ’ stress levels [ 9 ].	positive
by contrast, the nurses ’ work came under the focus of society during the covid - 19 pandemic.	negative
one reason for these buffering effects could be that humor in the workplace fosters cohesiveness among nurses [ 66 ].	positive
however, we obviously cannot exclude the possibility of some recall bias.	negative
table s5 : buffering effects of sense of humor and appreciation using difference scores including sample sizes. acknowledgementsnot necessary. authors ’ contributionsall authors conceived the idea presented.	negative
we require phenotype a to increase the homogeneity of the included population.	negative
the patients will be advised to contact the study team if they encounter any problems or adverse effects between the visits v3 – 7.	negative
a list of differentially expressed genes with at least 2 - fold difference in expression, called by both de tools and passing the fdr test, will be collected, and gene ontology enrichment analysis will be performed to identify the potential signalling pathways and cellular processes of significance [ 32 ]. discussiontaste perception has an impact on nutrient intake and termination of food consumption.	positive
the potential differences in the gene expression will reflect the differences in the gene expression over some, or, all of these different cell types. in conclusion, this is the first study to investigate the role of semaglutide on taste perception, along with a neural response to visual food cues in reward processing regions.	positive
spirit 2013 explanation and elaboration : guidance for protocols of clinical trials.	negative
over a period of 10 years, this demand is forecasted to range from 300 – 830 million doses for a vaccine preventing visceral leishmaniasis and 557 – 1400 million doses for a vaccine preventing cutaneous leishmaniasis under the different scenarios we simulated.	negative
the leishmaniases are a group of diseases caused by infection with a protozoan parasite of the genus leishmania ( l. leishmania spp and l. viannia spp ).	negative
chemotherapeutic options for cl have changed little in over 50 years [ 14 ] ; those medicines remains expensive and questions are still unanswered about their effectiveness and safety [ 15 ].	negative
in a similar fashion, we assumed that a cl prophylactic vaccine, while protecting individuals, will have less impact on transmission given the zoonotic nature of this disease, hence immunization will not be stopped in any cl at - risk area.	positive
doses per series series ( years of age ) vl prophylactic 1 year 5 years 2 3 ( 1, 6 and 11 ) cl prophylactic 1 year 5 years 2 3 ( 1, 6 and 11 ) cl / vl catch - up 2 1 pkdl therapeutic na lifelong 1 1 pkdl preventive na lifelong 1 1 of special importance is the assumption of cross - protection of a vaccine against visceral and cutaneous leishmaniasis, as suggested by studies with different leishmania species in experimental models [ 47, 48 ].	negative
whilst our modelling assumptions include transmission by asymptomatic cases of vl, a recent study from india suggests that this may be more limited than previously thought [ 10 ].	negative
further analyses to confirm the likelihood and strength of interest of country decision makers in prioritising leishmaniasis vaccines in their adoption decisions are warranted.	negative
this should be used with caution. - - - - - - - - - - - - - - - - - - - - editorial and data presentation modifications? use this section for editorial suggestions as well as relatively minor modifications of existing data that would enhance clarity.	negative
however, over the years the drugs that have been developed have not been able to control the disease because of the drug toxicities and development of parasite drug resistance due to lack of compliance.	positive
all press must be co - ordinated with plos. thank you again for supporting open access publishing ; we are looking forward to publishing your work in plos neglected tropical diseases. best regards, dhafer laouiniassociate editorplos neglected tropical diseaseseric dumonteildeputy editorplos neglected tropical diseases * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * reviewer ' s responses to questionskey review criteria required for acceptance? as you describe the new analyses required for acceptance, please consider the following : methods - are the objectives of the study clearly articulated with a clear testable hypothesis stated? - is the study design appropriate to address the stated objectives? - is the population clearly described and appropriate for the hypothesis being tested? - is the sample size sufficient to ensure adequate power to address the hypothesis being tested? - were correct statistical analysis used to support conclusions? - are there concerns about ethical or regulatory requirements being met? reviewer # 1 : see below summaryreviewer # 2 : the authors have satisfactorily responded to my commentsreviewer # 3 : the author have made suggested modifications * * * * * * * * * * results - does the analysis presented match the analysis plan? - are the results clearly and completely presented? - are the figures ( tables, images ) of sufficient quality for clarity? reviewer # 1 : see below summaryreviewer # 2 : the authors have satisfactorily responded to my commentsreviewer # 3 : ( no response ) * * * * * * * * * * conclusions - are the conclusions supported by the data presented? - are the limitations of analysis clearly described? - do the authors discuss how these data can be helpful to advance our understanding of the topic under study? - is public health relevance addressed? reviewer # 1 : see below summaryreviewer # 2 : the authors have satisfactorily responded to my commentsreviewer # 3 : ( no response ) * * * * * * * * * * editorial and data presentation modifications? use this section for editorial suggestions as well as relatively minor modifications of existing data that would enhance clarity.	positive
note : proofs for front matter articles ( editorial, viewpoint, symposium, review, etc... ) are generated on a different schedule and may not be made available as quickly. soon after your final files are uploaded, the early version of your manuscript will be published online unless you opted out of this process.	positive
in susceptible erythroid gb4 knockout cells, incoming viruses were arrested in the endosomal compartment, showing no cytoplasmic spreading of capsids as observed in gb4 - expressing cells.	positive
in line with this assumption, we showed that vp1u is required for virus uptake and identified a functional rbd at the most amino - terminal part of the protein, which mediates virus uptake independently of the rest of the capsid [ 11, 19, 32 ].	positive
in sharp contrast, the ph conditions had no significant effect on virus attachment in gb4 ko cells, confirming that gb4 is responsible for the ph - dependent binding enhancement in wt cells ( fig 6a ).	positive
* * * p < 0. 001 ; ns, not significant.	negative
subsequently, b19v ( 5104 geq / cell ) was added for 1h at 37°c in a buffer with the indicated ph.	negative
pictures taken from the top and the middle sections revealed the presence of internalized capsids in cells incubated at 37°c, but not at 4°c ( fig 7c ).	negative
the absence of significant b19v binding to rbcs was further confirmed by immunofluorescence microscopy with an antibody against intact capsids.	negative
in contrast to the ubiquitous expression of gb4, vp1ur expression is restricted to epcs, which are the only cells that b19v can productively infect [ 19, 32 ].	negative
in contrast, in cells lacking gb4, the virus signal does not progress and remains associated with endosomal markers, suggesting a role of gb4 in the infectious endocytic trafficking of b19v.	positive
in our studies, the interaction under acidic conditions of b19v and vlps with gb4 in the exoplasmic membrane leaflet resulted in virus uptake ( figs 6c, 7c and 7d ), suggesting that similar active membrane processes are induced by the multivalent binding of the capsid with gb4 molecules.	positive
if eligible, we will contact you to opt in or out [ 2 ] two versions of the revised manuscript : one with either highlights or tracked changes denoting where the text has been changed ; the other a clean version ( uploaded as the manuscript file ). important additional instructions are given below your reviewer comments. thank you again for your submission to our journal.	negative
* * * * * * * * * * part iii – minor issues : editorial and data presentation modificationsplease use this section for editorial suggestions as well as relatively minor modifications of existing data that would enhance clarity. reviewer # 1 : the abstract on the manuscript submission form differs slightly from the abstract in the manuscript and the former has some confusing typos such as : 1st sentence : the glycosphingolipid ( gsl ) globoside ( gb4 ) this study, we applied artificial viralparticles, genetically modified cells, and specific competitors to address the interplaybetween the virus and the gsl. figure 1a and s2 don ’ t seem to fit with the results : “ the expression of vp1ur in cells was sufficient to trigger virus attachment and uptake, however, in the absence of gb4, the intracellular capsids failed to initiate the infection ( figs 1a and s2 ) ”. these figures are not showing failure to infect … 1a is detection of receptor in gb4 kos and s2 is showing cell cycle arrest.	positive
note : proofs for front matter articles ( pearls, reviews, opinions, etc... ) are generated on a different schedule and may not be made available as quickly. soon after your final files are uploaded, the early version of your manuscript, if you opted to have an early version of your article, will be published online.	positive
it is known that mechanical disorders, such as disturbed tensile strength, nerve gliding disturbance ( the limited movement of the neural structures relative to other tissues ) or compression ( pressure - induced deformation ) of the nerve, may decrease neural tissue extensibility and cause irritation.	positive
current studies analysing tensioning techniques revealed neuroimmune, neurophysiological, and neurochemical effects in the structures of the nervous system [ 4 ]. previous studies have demonstrated various tests such as ( 1 ) the upper limb neurodynamic test 1 ( ulnt1 ), which assesses length and mobility of the peripheral ns in an upper limb [ 8, 9 ], ( 2 ) the straight leg raise ( slr ) test with ankle dorsiflexion, which is often used in patients with back and lower limb pain [ 10, 11, 12, 13 ], or ( 3 ) the slump ( slump ) test, which assess the correlations between the patient ’ s symptoms and movement limitations in the pain - sensitive structures located in the spinal canal and intervertebral foramen [ 10, 12 ].	positive
